game_id,season,week,market,selection,line,odds,model_probability,edge,outcome,profit
2016_02_TEN_DET,2016,2,spread,away,6.0,-102.0,0.5447152916575391,0.039764796608034114,won,0.9803921568627451
2016_02_TEN_DET,2016,2,total_points,under,48.0,-100.0,0.5485862584303729,0.0485862584303729,won,1.0
2016_02_PHI_CHI,2016,2,moneyline,away,,144.0,0.48516766398579875,0.07533159841202824,won,1.44
2016_02_PHI_CHI,2016,2,spread,away,3.0,-100.0,0.5718721521354042,0.07187215213540421,won,1.0
2016_02_PHI_CHI,2016,2,total_points,over,42.5,-100.0,0.6311341023100372,0.1311341023100372,won,1.0
2016_03_HOU_NE,2016,3,moneyline,home,,-117.0,0.6469800039580939,0.10780949704565146,won,0.8547008547008547
2016_03_HOU_NE,2016,3,spread,home,-1.0,-111.0,0.616135793430019,0.09006944271911854,won,0.9009009009009009
2016_03_HOU_NE,2016,3,total_points,over,38.5,-104.0,0.6543058327465533,0.14450191117792588,lost,-1.0
2016_03_ARI_BUF,2016,3,moneyline,home,,195.0,0.3916442736457788,0.052661222798321194,won,1.95
2016_03_BAL_JAX,2016,3,spread,home,1.0,-101.0,0.5525183346247805,0.050030772435725734,lost,-1.0
2016_03_BAL_JAX,2016,3,total_points,over,45.0,-110.0,0.565354761299107,0.041545237489583164,lost,-1.0
2016_03_CHI_DAL,2016,3,moneyline,away,,231.0,0.4548520797117428,0.15273727608636517,lost,-1.0
2016_03_CHI_DAL,2016,3,spread,away,6.5,-107.0,0.6403088459658435,0.12340063340545704,lost,-1.0
2016_03_CHI_DAL,2016,3,total_points,under,45.0,-107.0,0.577329135126922,0.06042092256653553,lost,-1.0
2016_03_CLE_MIA,2016,3,moneyline,away,,361.0,0.3734244773517749,0.15650473765546255,lost,-1.0
2016_03_CLE_MIA,2016,3,spread,away,10.0,-105.0,0.6648320002056404,0.15263687825442085,won,0.9523809523809523
2016_03_DET_GB,2016,3,moneyline,away,,231.0,0.3791184649169303,0.07700366129155267,lost,-1.0
2016_03_DET_GB,2016,3,spread,away,6.0,-102.0,0.549753555809791,0.04480306076028606,lost,-1.0
2016_03_DET_GB,2016,3,total_points,under,47.5,-102.0,0.5760352878594119,0.07108479280990698,lost,-1.0
2016_03_LA_TB,2016,3,moneyline,away,,156.0,0.4971719631699292,0.10654696316992918,won,1.56
2016_03_LA_TB,2016,3,spread,away,3.5,-103.0,0.6008248029800448,0.09343564041846841,won,0.970873786407767
2016_03_LA_TB,2016,3,total_points,over,40.5,-106.0,0.5840972791418645,0.06953417234574799,won,0.9433962264150944
2016_03_MIN_CAR,2016,3,moneyline,away,,231.0,0.34108401756582046,0.03896921394044284,won,2.31
2016_03_MIN_CAR,2016,3,total_points,over,43.0,-106.0,0.5820144358755275,0.06745132907941098,lost,-1.0
2016_03_PIT_PHI,2016,3,moneyline,home,,171.0,0.4281314980131525,0.05912780797625211,won,1.71
2016_03_SD_IND,2016,3,total_points,under,51.5,102.0,0.6339838717457741,0.13893436679527904,won,1.02
2016_03_SF_SEA,2016,3,total_points,under,42.0,-104.0,0.5651860189167546,0.05538209734812716,lost,-1.0
2016_03_WAS_NYG,2016,3,moneyline,away,,157.0,0.44993575407531905,0.06083069570956029,won,1.57
2016_03_WAS_NYG,2016,3,total_points,over,47.0,-107.0,0.5780471239144743,0.06113891135408789,won,0.9345794392523364
2016_03_ATL_NO,2016,3,moneyline,away,,142.0,0.5017887683817033,0.0885656278858355,won,1.42
2016_03_ATL_NO,2016,3,spread,away,2.5,115.0,0.5682862725460082,0.10316999347624073,won,1.15
2016_03_ATL_NO,2016,3,total_points,under,54.0,-110.0,0.6324537830887905,0.10864425927926669,lost,-1.0
2016_04_MIA_CIN,2016,4,total_points,under,46.0,-105.0,0.5846416117142681,0.07244648976304857,won,0.9523809523809523
2016_04_BUF_NE,2016,4,spread,home,-3.5,104.0,0.5844962588949312,0.09430018046355865,lost,-1.0
2016_04_BUF_NE,2016,4,total_points,over,41.0,-101.0,0.6551726178196742,0.1526850556306194,lost,-1.0
2016_04_CLE_WAS,2016,4,moneyline,away,,297.0,0.3144480024603358,0.0625588336945927,lost,-1.0
2016_04_CLE_WAS,2016,4,total_points,under,48.0,-105.0,0.5523007299664213,0.0401056080152018,lost,-1.0
