event_id,week,market,player,selection,line,odds,model_probability,edge,outcome,actual,profit
02522f48a7b7e7524881c1b1638cd94d,3,rush_yards,Rachaad White,over,33.5,127.0,0.56675,0.12622136563876651,lost,12.0,-1.0
02522f48a7b7e7524881c1b1638cd94d,3,receptions,Tyler Johnson,over,2.5,126.0,0.51475,0.07227212389380533,lost,2.0,-1.0
02522f48a7b7e7524881c1b1638cd94d,3,reception_yards,Rachaad White,over,14.5,118.0,0.72275,0.26403440366972475,lost,2.0,-1.0
02522f48a7b7e7524881c1b1638cd94d,3,pass_interceptions,Tyrod Taylor,over,0.5,118.0,0.63575,0.17703440366972478,won,1.0,1.18
02522f48a7b7e7524881c1b1638cd94d,3,field_goals,Nick Folk,over,1.5,116.0,0.60025,0.13728703703703699,won,2.0,1.16
02522f48a7b7e7524881c1b1638cd94d,3,sacks,Will McDonald IV,over,0.25,116.0,0.73075,0.26778703703703705,lost,0.0,-1.0
02522f48a7b7e7524881c1b1638cd94d,3,pass_attempts,Tyrod Taylor,under,27.5,115.0,0.85975,0.3946337209302326,lost,36.0,-1.0
02522f48a7b7e7524881c1b1638cd94d,3,reception_yards,Breece Hall,over,24.5,112.0,0.59575,0.12405188679245283,won,31.0,1.12
02522f48a7b7e7524881c1b1638cd94d,3,rush_attempts,Rachaad White,over,6.5,112.0,0.76825,0.2965518867924528,lost,5.0,-1.0
02522f48a7b7e7524881c1b1638cd94d,3,receptions,Garrett Wilson,under,5.5,112.0,0.5427500000000001,0.07105188679245289,lost,10.0,-1.0
02522f48a7b7e7524881c1b1638cd94d,3,rush_attempts,Breece Hall,under,14.5,110.0,0.6595,0.1833095238095238,won,9.0,1.1
02522f48a7b7e7524881c1b1638cd94d,3,tackles_assists,Zyon McCollum,under,5.5,106.0,0.74525,0.25981310679611647,lost,9.0,-1.0
02522f48a7b7e7524881c1b1638cd94d,3,tackles_assists,Jamien Sherwood,under,8.5,105.0,0.82775,0.3399451219512195,lost,10.0,-1.0
02522f48a7b7e7524881c1b1638cd94d,3,rush_longest,Rachaad White,over,9.5,105.0,0.6155,0.12769512195121957,lost,7.0,-1.0
02522f48a7b7e7524881c1b1638cd94d,3,rush_attempts,Bucky Irving,under,15.5,105.0,0.73775,0.24994512195121954,lost,25.0,-1.0
02522f48a7b7e7524881c1b1638cd94d,3,rush_yards,Baker Mayfield,under,15.5,105.0,0.5905,0.10269512195121955,lost,44.0,-1.0
02522f48a7b7e7524881c1b1638cd94d,3,rush_yards,Rachaad White,over,25.5,100.0,0.6915,0.1915,lost,12.0,-1.0
02522f48a7b7e7524881c1b1638cd94d,3,rush_yards,Tyrod Taylor,under,25.5,100.0,0.6972499999999999,0.19724999999999993,lost,48.0,-1.0
02522f48a7b7e7524881c1b1638cd94d,3,reception_yards,Sterling Shepard,under,24.5,100.0,0.59575,0.09575,lost,80.0,-1.0
02522f48a7b7e7524881c1b1638cd94d,3,rush_yards,Bucky Irving,under,70.5,100.0,0.65825,0.15825,won,66.0,1.0
02522f48a7b7e7524881c1b1638cd94d,3,tackles_assists,Quincy Williams,under,7.5,100.0,0.65425,0.15425,won,4.0,1.0
02522f48a7b7e7524881c1b1638cd94d,3,reception_yards,Breece Hall,over,23.5,-102.0,0.61,0.10504950495049503,won,31.0,0.9803921568627451
02522f48a7b7e7524881c1b1638cd94d,3,rush_yards,Rachaad White,over,23.5,-102.0,0.722,0.21704950495049502,lost,12.0,-1.0
02522f48a7b7e7524881c1b1638cd94d,3,rush_yards,Baker Mayfield,under,17.5,-102.0,0.6505000000000001,0.14554950495049512,lost,44.0,-1.0
02522f48a7b7e7524881c1b1638cd94d,3,receptions,Sterling Shepard,under,2.5,-102.0,0.577,0.072049504950495,lost,4.0,-1.0
