season,sel,market,profit
2023,over,tackles_assists,-1.0
2023,over,rush_yards,0.9259259259259259
2023,over,rush_yards,0.9259259259259259
2023,under,receptions,-1.0
2023,under,reception_yards,0.9259259259259259
2023,under,pass_longest_completion,0.9259259259259259
2023,under,rush_yards,0.9259259259259259
2023,over,pass_yards,0.9259259259259259
2023,over,reception_yards,0.9174311926605505
2023,under,pass_completions,0.9090909090909091
2023,under,receptions,-1.0
2023,under,rush_yards,-1.0
2023,over,rush_yards,-1.0
2023,under,rush_yards,0.9090909090909091
2023,under,pass_yards,0.9090909090909091
2023,over,pass_yards,-1.0
2023,over,pass_yards,0.9090909090909091
2023,under,pass_yards,-1.0
2023,over,reception_longest,-1.0
2023,under,reception_longest,-1.0
2023,over,reception_longest,-1.0
2023,over,reception_yards,0.9090909090909091
2023,under,reception_yards,-1.0
2023,over,reception_yards,0.9090909090909091
2023,under,reception_yards,-1.0
2023,over,reception_yards,0.9090909090909091
2023,under,reception_yards,0.9090909090909091
2023,over,reception_yards,-1.0
2023,over,reception_yards,0.9090909090909091
2023,under,reception_yards,-1.0
2023,under,reception_yards,0.9090909090909091
2023,under,reception_yards,0.9090909090909091
2023,under,reception_yards,-1.0
2023,over,reception_yards,-1.0
2023,over,reception_yards,-1.0
2023,under,reception_yards,0.9090909090909091
2023,over,reception_yards,-1.0
2023,over,reception_yards,-1.0
2023,over,reception_yards,-1.0
2023,under,reception_yards,0.9090909090909091
2023,over,reception_yards,-1.0
2023,under,reception_yards,0.9090909090909091
2023,under,rush_yards,-1.0
2023,over,rush_yards,0.9090909090909091
2023,over,rush_yards,0.9090909090909091
2023,under,rush_yards,-1.0
2023,under,reception_yards,0.9090909090909091
2023,under,pass_longest_completion,-1.0
2023,over,rush_yards,-1.0
2023,under,rush_yards,0.9090909090909091
2023,over,reception_yards,-1.0
2023,over,reception_yards,-1.0
2023,under,reception_yards,0.9090909090909091
2023,under,reception_yards,-1.0
2023,under,reception_yards,0.9090909090909091
2023,over,reception_yards,0.9090909090909091
2023,over,reception_yards,-1.0
2023,under,rush_longest,0.9090909090909091
2023,under,reception_yards,-1.0
